X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
559.892568	3546.000000	559.892568	5113.000000	559.892568	5668.000000	559.892568	5187.000000	559.892568	5761.000000	559.892568	7201.000000	559.892568	5669.000000	559.892568	6153.000000	559.892568	8735.000000	559.892568	4979.000000	559.892568	4599.000000	559.892568	5012.000000
560.613554	3542.000000	560.613554	5292.000000	560.613554	5632.000000	560.613554	5093.000000	560.613554	5725.000000	560.613554	7150.000000	560.613554	5527.000000	560.613554	6126.000000	560.613554	8579.000000	560.613554	4805.000000	560.613554	4571.000000	560.613554	5026.000000
561.334477	3545.000000	561.334477	5149.000000	561.334477	5531.000000	561.334477	5109.000000	561.334477	5665.000000	561.334477	6951.000000	561.334477	5507.000000	561.334477	6113.000000	561.334477	8527.000000	561.334477	4809.000000	561.334477	4534.000000	561.334477	4916.000000
562.055336	3506.000000	562.055336	5009.000000	562.055336	5614.000000	562.055336	5103.000000	562.055336	5580.000000	562.055336	6900.000000	562.055336	5494.000000	562.055336	6002.000000	562.055336	8446.000000	562.055336	4768.000000	562.055336	4489.000000	562.055336	4854.000000
562.776130	3486.000000	562.776130	5059.000000	562.776130	5455.000000	562.776130	5022.000000	562.776130	5407.000000	562.776130	6925.000000	562.776130	5390.000000	562.776130	6027.000000	562.776130	8396.000000	562.776130	4746.000000	562.776130	4431.000000	562.776130	4905.000000
563.496862	3544.000000	563.496862	4956.000000	563.496862	5451.000000	563.496862	4989.000000	563.496862	5442.000000	563.496862	6711.000000	563.496862	5405.000000	563.496862	5907.000000	563.496862	8395.000000	563.496862	4647.000000	563.496862	4478.000000	563.496862	5005.000000
564.217529	3482.000000	564.217529	4889.000000	564.217529	5450.000000	564.217529	4869.000000	564.217529	5384.000000	564.217529	6788.000000	564.217529	5293.000000	564.217529	5898.000000	564.217529	8269.000000	564.217529	4611.000000	564.217529	4421.000000	564.217529	4883.000000
564.938132	3397.000000	564.938132	4895.000000	564.938132	5334.000000	564.938132	4928.000000	564.938132	5406.000000	564.938132	6672.000000	564.938132	5116.000000	564.938132	5839.000000	564.938132	8150.000000	564.938132	4445.000000	564.938132	4348.000000	564.938132	4779.000000
565.658672	3439.000000	565.658672	4896.000000	565.658672	5372.000000	565.658672	4739.000000	565.658672	5386.000000	565.658672	6648.000000	565.658672	5153.000000	565.658672	5904.000000	565.658672	8147.000000	565.658672	4608.000000	565.658672	4339.000000	565.658672	4681.000000
566.379148	3490.000000	566.379148	4901.000000	566.379148	5183.000000	566.379148	4747.000000	566.379148	5312.000000	566.379148	6577.000000	566.379148	5085.000000	566.379148	5741.000000	566.379148	8171.000000	566.379148	4549.000000	566.379148	4312.000000	566.379148	4744.000000
567.099560	3322.000000	567.099560	4834.000000	567.099560	5314.000000	567.099560	4747.000000	567.099560	5273.000000	567.099560	6473.000000	567.099560	5143.000000	567.099560	5777.000000	567.099560	8169.000000	567.099560	4481.000000	567.099560	4240.000000	567.099560	4715.000000
567.819908	3251.000000	567.819908	4811.000000	567.819908	5143.000000	567.819908	4806.000000	567.819908	5362.000000	567.819908	6295.000000	567.819908	5116.000000	567.819908	5679.000000	567.819908	8050.000000	567.819908	4532.000000	567.819908	4162.000000	567.819908	4711.000000
