X	Y
559.892568	2194.000000
560.613554	2214.000000
561.334477	2223.000000
562.055336	2165.000000
562.776130	2217.000000
563.496862	2166.000000
564.217529	2168.000000
564.938132	2187.000000
565.658672	2119.000000
566.379148	2179.000000
567.099560	2155.000000
567.819908	2130.000000
568.540193	2204.000000
569.260414	2166.000000
569.980571	2106.000000
570.700664	2076.000000
571.420694	2133.000000
572.140660	2162.000000
572.860562	2131.000000
573.580401	2119.000000
574.300176	2079.000000
575.019887	2112.000000
575.739534	2084.000000
576.459118	2078.000000
577.178638	2095.000000
577.898094	2124.000000
578.617487	2058.000000
579.336816	2012.000000
580.056081	2021.000000
580.775283	2088.000000
581.494421	2116.000000
582.213495	1997.000000
582.932506	1992.000000
583.651453	2069.000000
584.370336	2033.000000
585.089156	2039.000000
585.807912	2084.000000
586.526605	2015.000000
587.245234	2013.000000
587.963800	2033.000000
588.682301	2077.000000
589.400740	2099.000000
590.119115	2042.000000
590.837426	2043.000000
591.555673	1996.000000
592.273857	2012.000000
592.991978	2045.000000
593.710035	2027.000000
594.428028	2031.000000
595.145958	2052.000000
595.863824	2043.000000
596.581627	2088.000000
597.299367	2023.000000
598.017042	2026.000000
598.734655	2052.000000
599.452204	2028.000000
600.169689	2083.000000
600.887111	2044.000000
601.604469	2072.000000
602.321764	2039.000000
603.038995	2119.000000
603.756163	2048.000000
604.473268	2071.000000
605.190309	2013.000000
605.907287	2062.000000
606.624201	2046.000000
607.341052	2023.000000
608.057839	2027.000000
608.774563	2046.000000
609.491224	2082.000000
610.207821	2026.000000
610.924355	2078.000000
611.640825	2062.000000
612.357232	2102.000000
613.073576	2072.000000
613.789856	2128.000000
614.506073	2042.000000
615.222226	2140.000000
615.938316	2080.000000
616.654343	2161.000000
617.370307	2073.000000
618.086207	2147.000000
618.802044	2086.000000
619.517817	2089.000000
620.233527	2149.000000
620.949174	2101.000000
621.664758	2073.000000
622.380278	2104.000000
623.095735	2129.000000
623.811129	2111.000000
624.526459	2148.000000
625.241726	2079.000000
625.956930	2139.000000
626.672071	2093.000000
627.387148	2131.000000
628.102162	2148.000000
628.817113	2093.000000
629.532001	2048.000000
630.246825	2082.000000
630.961587	2075.000000
631.676285	2071.000000
632.390919	2082.000000
633.105491	2070.000000
633.819999	2073.000000
634.534444	2084.000000
635.248826	2081.000000
635.963145	2129.000000
636.677401	2061.000000
637.391593	2104.000000
638.105723	2091.000000
638.819789	2092.000000
639.533792	2132.000000
640.247732	1996.000000
640.961608	2079.000000
641.675422	2084.000000
642.389172	2080.000000
643.102860	2095.000000
643.816484	2150.000000
644.530045	2079.000000
645.243543	2059.000000
645.956978	2095.000000
646.670350	2090.000000
647.383659	2108.000000
648.096904	2093.000000
648.810087	2118.000000
649.523206	2136.000000
650.236263	2110.000000
650.949256	2121.000000
651.662187	2064.000000
652.375054	2079.000000
653.087858	2070.000000
653.800600	2054.000000
654.513278	2038.000000
655.225893	2099.000000
655.938445	2086.000000
656.650935	2048.000000
657.363361	2085.000000
658.075724	2102.000000
658.788024	2049.000000
659.500262	2105.000000
660.212436	2033.000000
660.924547	2086.000000
661.636596	2086.000000
662.348581	2042.000000
663.060504	2089.000000
663.772363	2071.000000
664.484160	2094.000000
665.195893	2056.000000
665.907564	2108.000000
666.619172	2113.000000
667.330717	2020.000000
668.042199	2077.000000
668.753618	2143.000000
669.464974	2062.000000
670.176268	2076.000000
670.887498	2104.000000
671.598666	2101.000000
672.309770	2143.000000
673.020812	2080.000000
673.731791	2122.000000
674.442707	2051.000000
675.153561	2154.000000
675.864351	2054.000000
676.575079	2124.000000
677.285744	2013.000000
677.996346	2034.000000
678.706885	2101.000000
679.417361	2067.000000
680.127775	2044.000000
680.838125	2092.000000
681.548413	2066.000000
682.258639	2138.000000
682.968801	2132.000000
683.678901	2069.000000
684.388938	2068.000000
685.098912	2102.000000
685.808823	2075.000000
