X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
559.892568	6989.000000	559.892568	6606.000000	559.892568	6230.000000	559.892568	7662.000000	559.892568	6517.000000	559.892568	5999.000000	559.892568	5848.000000	559.892568	8492.000000	559.892568	7001.000000	559.892568	6209.000000	559.892568	5845.000000
560.613554	6943.000000	560.613554	6520.000000	560.613554	6234.000000	560.613554	7535.000000	560.613554	6425.000000	560.613554	5950.000000	560.613554	5693.000000	560.613554	8457.000000	560.613554	6821.000000	560.613554	6137.000000	560.613554	5839.000000
561.334477	6937.000000	561.334477	6419.000000	561.334477	6183.000000	561.334477	7479.000000	561.334477	6239.000000	561.334477	5777.000000	561.334477	5655.000000	561.334477	8304.000000	561.334477	6737.000000	561.334477	6092.000000	561.334477	5799.000000
562.055336	6881.000000	562.055336	6571.000000	562.055336	6079.000000	562.055336	7444.000000	562.055336	6317.000000	562.055336	5857.000000	562.055336	5517.000000	562.055336	8429.000000	562.055336	6984.000000	562.055336	6203.000000	562.055336	5709.000000
562.776130	6840.000000	562.776130	6324.000000	562.776130	6112.000000	562.776130	7374.000000	562.776130	6182.000000	562.776130	5807.000000	562.776130	5456.000000	562.776130	8345.000000	562.776130	6605.000000	562.776130	5929.000000	562.776130	5673.000000
563.496862	6808.000000	563.496862	6339.000000	563.496862	6107.000000	563.496862	7242.000000	563.496862	6101.000000	563.496862	5827.000000	563.496862	5599.000000	563.496862	8258.000000	563.496862	6649.000000	563.496862	5991.000000	563.496862	5713.000000
564.217529	6659.000000	564.217529	6319.000000	564.217529	6135.000000	564.217529	7308.000000	564.217529	6152.000000	564.217529	5628.000000	564.217529	5432.000000	564.217529	8269.000000	564.217529	6787.000000	564.217529	6002.000000	564.217529	5622.000000
564.938132	6714.000000	564.938132	6217.000000	564.938132	6015.000000	564.938132	7153.000000	564.938132	6008.000000	564.938132	5482.000000	564.938132	5457.000000	564.938132	8147.000000	564.938132	6525.000000	564.938132	5918.000000	564.938132	5551.000000
565.658672	6658.000000	565.658672	6154.000000	565.658672	5877.000000	565.658672	7208.000000	565.658672	5916.000000	565.658672	5618.000000	565.658672	5371.000000	565.658672	8118.000000	565.658672	6544.000000	565.658672	5931.000000	565.658672	5611.000000
566.379148	6581.000000	566.379148	6227.000000	566.379148	5746.000000	566.379148	7037.000000	566.379148	5963.000000	566.379148	5586.000000	566.379148	5303.000000	566.379148	8293.000000	566.379148	6545.000000	566.379148	5814.000000	566.379148	5543.000000
567.099560	6590.000000	567.099560	6134.000000	567.099560	5895.000000	567.099560	7075.000000	567.099560	5924.000000	567.099560	5421.000000	567.099560	5362.000000	567.099560	8035.000000	567.099560	6493.000000	567.099560	5824.000000	567.099560	5501.000000
567.819908	6557.000000	567.819908	6011.000000	567.819908	5914.000000	567.819908	7087.000000	567.819908	5901.000000	567.819908	5433.000000	567.819908	5359.000000	567.819908	8127.000000	567.819908	6393.000000	567.819908	5790.000000	567.819908	5384.000000
568.540193	6612.000000	568.540193	6125.000000	568.540193	5911.000000	568.540193	7119.000000	568.540193	5623.000000	568.540193	5387.000000	568.540193	5131.000000	568.540193	8142.000000	568.540193	6486.000000	568.540193	5777.000000	568.540193	5537.000000
569.260414	6564.000000	569.260414	6007.000000	569.260414	5810.000000	569.260414	6972.000000	569.260414	5752.000000	569.260414	5380.000000	569.260414	5169.000000	569.260414	8034.000000	569.260414	6502.000000	569.260414	5688.000000	569.260414	5441.000000
569.980571	6463.000000	569.980571	6005.000000	569.980571	5713.000000	569.980571	6995.000000	569.980571	5801.000000	569.980571	5290.000000	569.980571	5122.000000	569.980571	8011.000000	569.980571	6477.000000	569.980571	5722.000000	569.980571	5347.000000
570.700664	6411.000000	570.700664	5919.000000	570.700664	5706.000000	570.700664	6904.000000	570.700664	5675.000000	570.700664	5241.000000	570.700664	5055.000000	570.700664	8052.000000	570.700664	6311.000000	570.700664	5706.000000	570.700664	5417.000000
571.420694	6438.000000	571.420694	5941.000000	571.420694	5680.000000	571.420694	6957.000000	571.420694	5636.000000	571.420694	5334.000000	571.420694	5072.000000	571.420694	7956.000000	571.420694	6332.000000	571.420694	5721.000000	571.420694	5418.000000
572.140660	6346.000000	572.140660	5898.000000	572.140660	5632.000000	572.140660	6826.000000	572.140660	5569.000000	572.140660	5250.000000	572.140660	4924.000000	572.140660	8011.000000	572.140660	6442.000000	572.140660	5674.000000	572.140660	5357.000000
572.860562	6350.000000	572.860562	5842.000000	572.860562	5660.000000	572.860562	6775.000000	572.860562	5611.000000	572.860562	5184.000000	572.860562	5046.000000	572.860562	7912.000000	572.860562	6301.000000	572.860562	5629.000000	572.860562	5295.000000
573.580401	6403.000000	573.580401	5905.000000	573.580401	5638.000000	573.580401	6715.000000	573.580401	5566.000000	573.580401	5221.000000	573.580401	5029.000000	573.580401	7921.000000	573.580401	6277.000000	573.580401	5648.000000	573.580401	5289.000000
574.300176	6322.000000	574.300176	5829.000000	574.300176	5574.000000	574.300176	6766.000000	574.300176	5571.000000	574.300176	5172.000000	574.300176	4973.000000	574.300176	7910.000000	574.300176	6267.000000	574.300176	5569.000000	574.300176	5275.000000
