X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
559.892568	6994.000000	559.892568	5376.000000	559.892568	4558.000000	559.892568	4091.000000	559.892568	5619.000000	559.892568	3841.000000	559.892568	2983.000000	559.892568	2486.000000	559.892568	7418.000000	559.892568	5626.000000	559.892568	6293.000000	559.892568	5390.000000	559.892568	5159.000000	559.892568	4670.000000
560.613554	6708.000000	560.613554	5323.000000	560.613554	4513.000000	560.613554	4244.000000	560.613554	5614.000000	560.613554	3854.000000	560.613554	3033.000000	560.613554	2470.000000	560.613554	7491.000000	560.613554	5599.000000	560.613554	6250.000000	560.613554	5381.000000	560.613554	5083.000000	560.613554	4574.000000
561.334477	6787.000000	561.334477	5288.000000	561.334477	4395.000000	561.334477	4153.000000	561.334477	5489.000000	561.334477	3729.000000	561.334477	2989.000000	561.334477	2375.000000	561.334477	7397.000000	561.334477	5528.000000	561.334477	6139.000000	561.334477	5310.000000	561.334477	4946.000000	561.334477	4506.000000
562.055336	6740.000000	562.055336	5277.000000	562.055336	4447.000000	562.055336	4105.000000	562.055336	5562.000000	562.055336	3682.000000	562.055336	2921.000000	562.055336	2414.000000	562.055336	7185.000000	562.055336	5548.000000	562.055336	6206.000000	562.055336	5319.000000	562.055336	5005.000000	562.055336	4559.000000
562.776130	6538.000000	562.776130	5056.000000	562.776130	4300.000000	562.776130	4110.000000	562.776130	5566.000000	562.776130	3698.000000	562.776130	2912.000000	562.776130	2346.000000	562.776130	7180.000000	562.776130	5335.000000	562.776130	6181.000000	562.776130	5272.000000	562.776130	4960.000000	562.776130	4608.000000
563.496862	6738.000000	563.496862	5110.000000	563.496862	4329.000000	563.496862	4066.000000	563.496862	5482.000000	563.496862	3719.000000	563.496862	2943.000000	563.496862	2407.000000	563.496862	7123.000000	563.496862	5422.000000	563.496862	6137.000000	563.496862	5227.000000	563.496862	4840.000000	563.496862	4461.000000
564.217529	6569.000000	564.217529	5234.000000	564.217529	4443.000000	564.217529	4074.000000	564.217529	5422.000000	564.217529	3727.000000	564.217529	2915.000000	564.217529	2319.000000	564.217529	7178.000000	564.217529	5420.000000	564.217529	6225.000000	564.217529	5145.000000	564.217529	4908.000000	564.217529	4414.000000
564.938132	6649.000000	564.938132	5191.000000	564.938132	4353.000000	564.938132	4117.000000	564.938132	5282.000000	564.938132	3710.000000	564.938132	2914.000000	564.938132	2281.000000	564.938132	7158.000000	564.938132	5366.000000	564.938132	6068.000000	564.938132	5157.000000	564.938132	4798.000000	564.938132	4474.000000
565.658672	6544.000000	565.658672	5137.000000	565.658672	4286.000000	565.658672	4057.000000	565.658672	5522.000000	565.658672	3588.000000	565.658672	2884.000000	565.658672	2285.000000	565.658672	7143.000000	565.658672	5348.000000	565.658672	5861.000000	565.658672	5015.000000	565.658672	4821.000000	565.658672	4389.000000
566.379148	6577.000000	566.379148	5104.000000	566.379148	4333.000000	566.379148	3988.000000	566.379148	5399.000000	566.379148	3657.000000	566.379148	2885.000000	566.379148	2288.000000	566.379148	7107.000000	566.379148	5153.000000	566.379148	5985.000000	566.379148	5069.000000	566.379148	4832.000000	566.379148	4344.000000
